Datetime,Day,Hour,Cat,Count ,Percent
05/11/2015 08:00,5,8,Negative,12,37.5
05/11/2015 10:00,5,10,Negative,11,52.38095238
05/11/2015 11:00,5,11,Negative,17,32.0754717
05/11/2015 13:00,5,13,Negative,12,35.29411765
05/11/2015 14:00,5,14,Negative,17,36.17021277
05/11/2015 16:00,5,16,Negative,20,39.21568627
05/11/2015 17:00,5,17,Negative,21,15.2173913
05/11/2015 18:00,5,18,Negative,76,25.67567568
05/11/2015 19:00,5,19,Negative,100,33.11258278
05/11/2015 20:00,5,20,Negative,118,38.06451613
05/11/2015 21:00,5,21,Negative,98,33.56164384
05/11/2015 22:00,5,22,Negative,96,35.42435424
05/11/2015 23:00,5,23,Negative,61,36.09467456
05/11/2015 09:00,5,9,Neutral,13,40.625
05/11/2015 10:00,5,10,Neutral,11,35.48387097
05/11/2015 12:00,5,12,Neutral,27,50.94339623
05/11/2015 13:00,5,13,Neutral,16,50
05/11/2015 14:00,5,14,Neutral,13,38.23529412
05/11/2015 15:00,5,15,Neutral,23,48.93617021
05/11/2015 16:00,5,16,Neutral,16,48.48484848
05/11/2015 17:00,5,17,Neutral,22,43.1372549
05/11/2015 18:00,5,18,Neutral,85,61.5942029
05/11/2015 19:00,5,19,Neutral,169,57.09459459
05/11/2015 20:00,5,20,Neutral,159,52.64900662
05/11/2015 21:00,5,21,Neutral,145,46.77419355
05/11/2015 22:00,5,22,Neutral,146,50
05/11/2015 23:00,5,23,Neutral,134,49.44649446
05/11/2015 15:00,5,15,Positive,11,33.33333333
05/11/2015 17:00,5,17,Positive,32,23.1884058
05/11/2015 18:00,5,18,Positive,51,17.22972973
05/11/2015 19:00,5,19,Positive,43,14.2384106
05/11/2015 20:00,5,20,Positive,47,15.16129032
05/11/2015 21:00,5,21,Positive,48,16.43835616
05/11/2015 22:00,5,22,Positive,41,15.12915129
05/11/2015 23:00,5,23,Positive,25,14.79289941
06/11/2015 00:00,6,0,Negative,37,34.90566038
06/11/2015 01:00,6,1,Negative,27,42.1875
06/11/2015 03:00,6,3,Negative,17,53.125
06/11/2015 07:00,6,7,Negative,25,43.85964912
06/11/2015 08:00,6,8,Negative,23,51.11111111
06/11/2015 09:00,6,9,Negative,23,46
06/11/2015 10:00,6,10,Negative,22,53.65853659
06/11/2015 11:00,6,11,Negative,23,46.93877551
06/11/2015 12:00,6,12,Negative,27,57.44680851
06/11/2015 13:00,6,13,Negative,16,45.71428571
06/11/2015 15:00,6,15,Negative,11,68.75
06/11/2015 18:00,6,18,Negative,11,52.38095238
06/11/2015 00:00,6,0,Neutral,51,48.11320755
06/11/2015 01:00,6,1,Neutral,28,43.75
06/11/2015 02:00,6,2,Neutral,16,51.61290323
06/11/2015 03:00,6,3,Neutral,12,37.5
06/11/2015 07:00,6,7,Neutral,26,45.61403509
06/11/2015 08:00,6,8,Neutral,18,40
06/11/2015 09:00,6,9,Neutral,19,38
06/11/2015 10:00,6,10,Neutral,14,34.14634146
06/11/2015 11:00,6,11,Neutral,20,40.81632653
06/11/2015 12:00,6,12,Neutral,12,25.53191489
06/11/2015 13:00,6,13,Neutral,17,48.57142857
06/11/2015 14:00,6,14,Neutral,21,58.33333333
06/11/2015 17:00,6,17,Neutral,11,40.74074074
06/11/2015 21:00,6,21,Neutral,11,47.82608696
06/11/2015 00:00,6,0,Positive,18,16.98113208
06/11/2015 16:00,6,16,Positive,11,42.30769231
07/11/2015 12:00,7,12,Negative,11,73.33333333
